x
Golga7
Psph
Apg5l
Mtif2
Rab14
Psma1
9130011J15Rik
Copa
Gbf1
D130059B05Rik
Zranb1
2610209M04Rik
2410015J15Rik
4931406I20Rik
2310079P12Rik
E130302O19Rik
Rfk
0610040B21Rik
3100004P22Rik
Tbl3
Bscl2
Ube2r2
Ncl
Statip1
Vps35
Cct8
Spin
Spin
Ddr1
Ddr1
Gja1
Tpbpa
Gsn
Nono
Scd2
D3Ucla1
Lbr
Agtr2
Dusp6
Csh2
Pycs
Npm1
Ldh3
Def8
Eif3s8
Eif3s8
Tyrp1
Eif4g2
Bpgm
Cct4
Tgfbi
Hnrph1
Spry1
Dpysl3
Rrm1
Ghitm
Tra1
Mgst1
Mgst1
Kit
Slc38a1
Tspyl1
Ciapin1
Impact
Cstf2t
Tnfrsf19
Mlp
Ndn
Tnp1
Nup62
Cox5a
Bcar3
Pdcd6ip
Fmod
AA407930
Mcm5
Pappa2
Cpe
Slc2a4
Hnrph2
Scd1
Scd1
Kap
Marcks
Marcks
Marcks
Carhsp1
Carhsp1
5031400M07Rik
Hdlbp
Hey1
Prdx1
Cotl1
Cotl1
Cldn11
Mdk
Satb1
Dr1
Fgg
Tieg1
1110006I15Rik
Cd24a
Hif1a
Cyr61
Lipf
Nasp
C2
Lrrn1
Tbc1d15
Tbc1d15
Ankrd10
Cd9
Za20d2
Mtap4
Adam9
Lrrc4
Hist1h1c
Mpdu1
1110001A12Rik
1200002G13Rik
Cd83
Orc3l
Orc3l
Ccnd2
Ccnd2
Rpo1-2
Tuba6
C920006C10Rik
C920006C10Rik
Mmp2
Anxa7
Dhx15
Sfrs3
Srp54
Nr2f2
Fbln5
Prdx4
Serpinf1
Pes1
Hmgb1
Rbmxrt
Plekhb1
Rdx
Apba3
Pnrc2
Pnrc2
Gm2a
Napa
Cyp4b1
Snrp1c
Aqp1
Sipa1
Usp14
Mcm4
Fstl1
BC003251
Rfk
Olig2
Eva1
Eva1
Tie1
Pex12
Tmem19
Pdyn
Perp
Map2k1ip1
Tnfaip2
Slc26a6
Rgs4
Rgs4
Il2rg
Mmp9
Shcbp1
