x
Atp6v0d1
Trappc4
Psmb5
Anapc1
Mrpl43
Xpo7
Nmt1
Psap
Ube2g1
Zfp307
Dlgh1
1110021N07Rik
Golph2
Gps1
Ctbp1
Ureb1
Cdv3
Anapc2
Ddx24
Rps27
1200013P24Rik
1110059P08Rik
Eif5
Apoa1bp
Pabpn1
5730453I16Rik
Bat5
Rab7
Ddb1
Pfdn5
Psmc5
Hdac5
H2-Ke2
Cic
Riok3
Rragc
Hp1bp3
D10Bwg1364e
1810060D16Rik
Ube2v1
2010313D22Rik
Hbxip
Atox1
Mrpl52
5730454B08Rik
4930564D15Rik
Itch
Wdr6
Ncl
Pnliprp1
Actg1
Sumo2
Vps35
Pgc
BC002236
BC002236
BC002236
Rnf34
AL033326
AI415282
Cx3cl1
Cx3cl1
Tpbpa
Uhrf1
Uhrf1
Atp6v1b2
Cct7
Anxa6
Ppp2r1a
Psmd2
Rps29
Klk6
Gbl
Ldh3
Rasa3
Impdh2
Impdh2
Kitl
Tyrp1
Bpgm
Actr1a
3010003L21Rik
Rps26
Rplp2
Sh2d3c
Tfg
Hdgf
Snrpn
Snrpn
Reg1
Stip1
Rps13
Hnrpab
Ddx1
Tpi1
Npdc1
Nup62
Actc1
Map1lc3b
Atp9a
Cops8
Spink3
AA407930
Rpl10
Sdc1
Sdc1
Pigq
Pappa2
Pbp
Fkbp10
Mark2
Try4
Nnp1
Slc2a4
Mpo
Itm2c
Ndufv1
Kap
Map2k2
Isyna1
Tubb3
Atp5g2
Lcp1
Clcn4-2
Hdlbp
Vdac2
Klhdc3
Sqle
Casp6
Txnip
Txnip
Ywhah
Tm4sf8
Ehd1
Pld3
Abce1
Tap1
Copg
Atp5g1
Fabp3
Cct3
Rpl12
Pdcd6
Hn1
Fkbp1a
Cct2
AL033314
Nasp
Fliih
Smarcb1
0610025O11Rik
0610025O11Rik
Phc2
Scarb1
Prps1
Rps5
Np15
Np15
Atp5c1
Sec23b
Tbc1d15
Ceacam11
Hspa5
Ifrd1
Kars
Pfkp
Ddx18
Pcnt1
Rpl28
Sav1
Ccnb1
